# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	3470950	884	-					trpD		BSQ33_RS00005	999		old_locus_tag=BSQ33_00005
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	3470950	884	-	WP_088134493.1	WP_088134493.1		anthranilate phosphoribosyltransferase	trpD		BSQ33_RS00005	999	332	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	937	1521	-							BSQ33_RS00010	585		old_locus_tag=BSQ33_00010
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	937	1521	-	WP_088132830.1	WP_088132830.1		aminodeoxychorismate/anthranilate synthase component II			BSQ33_RS00010	585	194	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	1514	3115	-							BSQ33_RS00015	1602		old_locus_tag=BSQ33_00015
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	1514	3115	-	WP_021020477.1	WP_021020477.1		anthranilate synthase component 1			BSQ33_RS00015	1602	533	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	3363	4205	+							BSQ33_RS00020	843		old_locus_tag=BSQ33_00020
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	3363	4205	+	WP_088132831.1	WP_088132831.1		PHP domain-containing protein			BSQ33_RS00020	843	280	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	4237	4857	+							BSQ33_RS00025	621		old_locus_tag=BSQ33_00025
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	4237	4857	+	WP_021020475.1	WP_021020475.1		threonylcarbamoyl-AMP synthase			BSQ33_RS00025	621	206	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	4997	5920	+					rluB		BSQ33_RS00030	924		old_locus_tag=BSQ33_00030
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	4997	5920	+	WP_021020474.1	WP_021020474.1		23S rRNA pseudouridine(2605) synthase RluB	rluB		BSQ33_RS00030	924	307	
